x,y,Mean,Std,,,,
93.75,28,134.7798213,129.3048997,,,,
94,28,137.7482452,129.6678065,,,,
94.25,28,140.716669,130.300168,,,,
94.5,28,147.8370678,133.758553,,,,
94.75,28,154.9574666,137.4687994,,,,
95,28,153.2996948,135.7939797,,,,
95.25,28,151.6419229,134.2217989,,,,
95.5,28,149.858662,132.8279824,,,,
95.75,28,148.0754011,131.5662892,,,,
96,28,138.288861,123.9479935,,,,
96.25,28,128.5023209,116.5067537,,,,
96.5,28,112.2892954,102.7204037,,,,
96.75,28,96.07626981,89.15988636,,,,
97,28,96.3663242,89.51214695,,,,
97.25,28,96.65637859,89.99953364,,,,
92.75,28.25,79.08449414,90.87320861,,,,
93,28.25,92.84876966,101.5869026,,,,
93.25,28.25,106.6130452,112.7248307,,,,
93.5,28.25,111.7076469,114.56356,,,,
93.75,28.25,116.8022486,116.6376156,,,,
94,28.25,120.4456181,117.5097233,,,,
94.25,28.25,124.0889877,118.6126508,,,,
94.5,28.25,133.356488,123.4808049,,,,
94.75,28.25,142.6239882,128.6084419,,,,
95,28.25,137.9697851,124.7701983,,,,
95.25,28.25,133.3155821,121.0672304,,,,
95.5,28.25,133.8850748,120.7344846,,,,
95.75,28.25,134.4545674,120.5276723,,,,
96,28.25,121.3004367,110.114904,,,,
96.25,28.25,108.146306,99.90435813,,,,
96.5,28.25,99.63036398,92.56563487,,,,
96.75,28.25,91.11442193,85.36731007,,,,
97,28.25,84.87695802,79.87525213,,,,
97.25,28.25,78.63949411,74.49910834,,,,
93.25,28.5,87.78275505,95.85946019,,,,
93.5,28.5,91.76880593,97.39753684,,,,
93.75,28.5,95.75485681,99.12184036,,,,
94,28.5,100.2942409,101.3123753,,,,
94.25,28.5,104.8336251,103.7266837,,,,
94.5,28.5,117.1033173,111.3320624,,,,
94.75,28.5,129.3730096,119.198674,,,,
95,28.5,122.7055094,113.6668915,,,,
95.25,28.5,116.0380092,108.2350236,,,,
95.5,28.5,115.6444766,107.0640595,,,,
95.75,28.5,115.2509439,105.9758914,,,,
96,28.5,105.0942952,97.69269036,,,,
96.25,28.5,94.93764647,89.56126468,,,,
96.5,28.5,88.43251961,83.71338902,,,,
96.75,28.5,81.92739275,77.98840075,,,,
93.75,28.75,74.70746506,81.93111079,,,,
94,28.75,80.14286374,85.39875715,,,,
94.25,28.75,85.57826241,89.13397006,,,,
94.5,28.75,100.8501467,99.437668,,,,
94.75,28.75,116.1220311,110.0509591,,,,
95,28.75,107.4412337,102.7897468,,,,
95.25,28.75,98.76043635,95.67297707,,,,
95.5,28.75,97.4038784,93.63350432,,,,
95.75,28.75,96.04732044,91.66748618,,,,
96,28.75,88.88815368,85.46584085,,,,
96.25,28.75,81.72898692,79.3744184,,,,
96.5,28.75,77.23467525,74.982789,,,,
94.25,29,75.89130566,80.63156032,,,,
94.5,29,83.97677683,85.81011928,,,,
94.75,29,92.06224799,91.16270962,,,,
95,29,91.2759255,89.99517248,,,,
95.25,29,90.489603,88.88848134,,,,
95.5,29,87.98415004,85.9724597,,,,
95.75,29,85.47869708,83.1258022,,,,
96,29,79.03422238,77.37853323,,,,
96.25,29,72.58974768,71.73154868,,,,
96.5,29,69.70567151,68.67998524,,,,
94.5,29.25,67.10340691,72.40851361,,,,
94.75,29.25,68.00246492,72.68013403,,,,
95,29.25,75.11061728,77.38657381,,,,
95.25,29.25,82.21876965,82.21514786,,,,
95.5,29.25,78.56442168,78.41881399,,,,
95.75,29.25,74.91007372,74.70526477,,,,
96,29.25,69.18029108,69.40101783,,,,
96.25,29.25,63.45050843,64.2208156,,,,
96.5,29.25,62.17666777,62.49649829,,,,
96,29.5,62.36817137,63.46512005,,,,
