"","V1","V2"
"88",173.504930255621,151.951423373304
"89",169.116995374977,149.422878273241
"90",164.729060494333,147.262457705252
"91",156.996451877425,141.501984944899
"92",215.241633806127,242.110416188671
"93",220.386778897815,243.554977153553
"94",225.531923989503,245.687679345084
"95",224.114315449392,239.678314293562
"96",222.696706909281,234.440591943619
"97",220.110638050883,228.126446758091
"98",217.524569192486,222.538620117421
"99",216.373029342561,219.458376122971
"100",215.221489492636,216.828366677257
"101",210.053590780355,210.459522564711
"102",204.885692068073,204.315450301972
"103",200.324695473749,198.006188171115
"104",195.763698879424,191.860583903764
"105",192.859260430335,187.754274654812
"106",189.954821981247,183.804178747336
"107",186.231398089796,178.768875512051
"108",182.507974198344,173.864606892836
"109",180.946180600727,168.526341606651
"110",179.384387003109,163.396750423244
"111",178.481035577649,159.881801275432
"112",177.577684152188,156.636894176393
"113",177.564314568676,155.387314385743
"114",177.550944985163,154.45133158174
"115",175.055709396493,152.842426640646
"116",172.560473807823,151.556732415778
"117",161.564966452162,143.950472432649
"118",150.569459096502,136.780511305962
"119",195.735872780219,225.465495443104
"120",206.901815041041,235.401778968654
"121",218.067757301864,245.890861741239
"122",221.743590575476,245.711421139669
"123",225.419423849087,246.194928597591
"124",224.551489443022,241.024992568977
"125",223.683555036956,236.526082764458
"126",220.015583698935,229.539476980758
"127",216.347612360913,223.284744168497
"128",214.671235767223,219.518762552772
"129",212.994859173532,216.344813276488
"130",207.815547223254,209.662880416226
"131",202.636235272976,203.193286166954
"132",198.676996004365,197.794500786775
"133",194.717756735755,192.525119756215
"134",188.158916090769,184.333453061085
"135",181.600075445783,176.274469445501
"136",178.174713211158,170.913166718592
"137",174.749350976534,165.697747730039
"138",174.990981269566,162.828589928431
"139",175.232611562598,160.15072681998
"140",176.323408771852,158.405016624299
"141",177.414205981105,156.96228237307
"142",179.505582847905,157.008103100117
"143",181.596959714705,157.393057175476
"144",180.994423418009,156.729709942816
"145",180.391887121313,156.394004116245
"146",166.1334810269,146.804098486569
"147",151.875074932487,137.752400468557
"148",150.592176359536,136.60503314873
"149",181.529514014913,209.423668509433
"150",185.858010489523,212.811377119491
"151",193.611162763549,219.130367285804
"152",201.364315037575,225.898855240487
"153",198.005637442721,219.015180078614
"154",177.343227495546,176.463605649568
"155",170.261850555109,168.22328546028
"156",170.861959346001,165.999676514164
"157",171.462068136892,163.941953923491
"158",170.236035469855,160.097116608421
"159",169.010002802817,156.462568719804
"160",170.498988372607,154.978340888601
"161",171.987973942397,153.80740633949
"162",176.198571878697,155.098452491703
"163",180.409169814998,156.763981303305
"164",181.402285721297,157.09281488754
"165",182.395401627597,157.712558450893
"166",173.613607961671,151.799899914195
"167",164.831814295745,146.217041110537
"168",161.014821545539,143.460445920699
"169",157.197828795334,140.892751585485
"170",157.103136707172,141.799618278071
"171",179.361923618731,206.704239290099
"172",175.980148198828,200.976704853083
"173",180.320510486057,203.625623932619
"174",184.660872773286,206.734380656714
"175",166.527538900323,169.290541012393
"176",158.923625664435,160.960763602287
"177",163.549205480843,161.726558398069
"178",168.174785297251,162.733429261577
"179",165.481089670144,157.907490484745
"180",162.787394043037,153.352033704261
"181",164.674567973363,152.032770007578
"182",166.561741903689,151.062386464944
"183",172.891560909489,153.516808138305
"184",179.22137991529,156.422313106323
"185",181.810148024586,157.733697821098
"186",184.398916133882,159.353465219359
"187",181.093734896442,157.132471955001
"188",177.788553659002,155.167366307825
"189",171.437466731543,150.70882488301
"190",165.086379804084,146.485626692416
"191",160.027394192876,143.122515582743
"192",154.968408581668,139.975920609451
"193",143.023227226972,129.947697724657
"194",131.078045872275,120.164185403182
"195",129.539205242359,119.19937437675
"196",140.28761125837,161.554645790888
"197",136.263118412629,155.000452747329
"198",142.227774230163,160.967186234297
"199",148.192430047696,167.244451585107
"200",152.53652427849,159.609795841335
"201",142.816288547978,149.387975642665
"202",133.096052817466,139.276259674652
"203",140.051650752085,142.873476820707
"204",147.007248686705,146.686710939008
"205",149.981107512808,146.488472751384
"206",152.95496633891,146.531767066125
"207",156.307267139135,146.358817841782
"208",159.659567939361,146.528837963543
"209",163.971216538368,147.682120874255
"210",168.282865137375,149.212243339155
"211",172.063897843736,150.910987051787
"212",175.844930550097,152.882898933532
"213",174.861669626414,152.029870235881
"214",173.87840870273,151.335118932112
"215",168.634857977805,147.843024704144
"216",163.39130725288,144.543475025203
"217",157.652339723073,140.455658907098
"218",151.913372193266,136.550128090027
"219",133.985726986935,121.407770474382
